73 | 228
65 | 370
118 | 293
147 | 382
136 | 413
116 | 339
75 | 268
50 | 202
59 | 265
128 | 382
59 | 452
101 | 323
111 | 207
110 | 444
95 | 317
129 | 436
79 | 278
66 | 406
147 | 315
97 | 215
63 | 477
142 | 498
98 | 252
147 | 378
133 | 330
131 | 341
106 | 375
50 | 427
150 | 347
143 | 468
62 | 227
81 | 226
51 | 466
213 | 919
119 | 366
75 | 347
99 | 384
107 | 447
80 | 354
52 | 405
76 | 437
72 | 278
55 | 497
109 | 367
63 | 497
112 | 423
59 | 214
79 | 420
81 | 251
150 | 483
124 | 336
86 | 392
53 | 223
117 | 407
125 | 292
100 | 222
71 | 279
134 | 478
83 | 318
71 | 260
91 | 465
137 | 360
58 | 407
66 | 299
78 | 465
100 | 474
103 | 487
108 | 467
87 | 435
74 | 360
94 | 314
124 | 343
68 | 371
54 | 321
66 | 342
118 | 456
142 | 413
84 | 329
141 | 268
87 | 289
73 | 425
56 | 276
109 | 297
122 | 402
53 | 471
125 | 277
87 | 409
72 | 247
244 | 897
104 | 407
93 | 281
130 | 413
135 | 213
243 | 935
111 | 350
63 | 364
58 | 378
143 | 218
128 | 335
85 | 273
133 | 273
94 | 202
131 | 400
133 | 491
99 | 462
86 | 398
120 | 432
93 | 352
110 | 323
66 | 405
122 | 416
97 | 260
106 | 307
102 | 279
59 | 299
58 | 479
130 | 307
91 | 395
137 | 316
126 | 269
119 | 221
84 | 346
129 | 383
129 | 296
216 | 803
92 | 351
108 | 489
77 | 373
148 | 268
77 | 364
141 | 247
62 | 387
116 | 335
96 | 285
78 | 442
114 | 484
62 | 445
90 | 335
126 | 302
117 | 267
112 | 490
105 | 319
82 | 252
147 | 269
110 | 429
147 | 334
69 | 430
97 | 491
74 | 272
83 | 307
132 | 258
94 | 371
138 | 497
143 | 346
131 | 440
145 | 339
53 | 335
72 | 234
58 | 444
67 | 240
108 | 406
92 | 444
135 | 461
65 | 423
75 | 444
72 | 305
147 | 470
136 | 371
139 | 329
137 | 331
89 | 338
88 | 330
110 | 484
63 | 392
104 | 447
56 | 321
82 | 289
149 | 408
74 | 451
56 | 488
70 | 496
143 | 463
96 | 478
81 | 257
121 | 361
56 | 474
80 | 232
145 | 274
78 | 281
108 | 419
135 | 258
87 | 254
59 | 403
123 | 459
247 | 957
52 | 307
88 | 499
117 | 480
235 | 996
140 | 303
77 | 417
121 | 269
78 | 321
78 | 216
81 | 308
140 | 258
120 | 391
136 | 269
84 | 346
85 | 465
59 | 319
110 | 379
98 | 361
82 | 283
105 | 437
61 | 376
61 | 247
65 | 446
59 | 465
143 | 235
143 | 255
104 | 233
85 | 448
148 | 274
114 | 304
73 | 355
59 | 383
109 | 463
88 | 327
55 | 233
101 | 232
111 | 324
118 | 346
117 | 377
55 | 341
99 | 354
136 | 407
86 | 491
53 | 479
102 | 302
129 | 340
72 | 250
137 | 257
96 | 427
50 | 373
104 | 310
58 | 369
129 | 327
80 | 324
99 | 457
133 | 343
75 | 296
135 | 429
65 | 314
56 | 379
125 | 301
142 | 339
118 | 323
71 | 202
105 | 329
108 | 470
98 | 310
137 | 224
141 | 397
297 | 938
116 | 347
63 | 500
135 | 375
50 | 402
70 | 479
119 | 205
109 | 256
73 | 366
95 | 234
107 | 491
58 | 492
123 | 278
122 | 389
60 | 456
73 | 460
80 | 333
202 | 941
84 | 391
101 | 459
107 | 333
82 | 278
62 | 314
60 | 306
112 | 390
115 | 207
117 | 319
59 | 215
111 | 454
82 | 220
140 | 489
120 | 236
146 | 322
70 | 494
124 | 219
150 | 210
112 | 396
91 | 257
68 | 204
143 | 290
142 | 214
233 | 878
54 | 396
93 | 354
66 | 308
51 | 498
51 | 224
53 | 275
127 | 417
137 | 274
99 | 311
136 | 364
124 | 319
84 | 423
69 | 475
100 | 345
72 | 263
61 | 384
64 | 408
120 | 346
80 | 263
81 | 220
121 | 260
111 | 436
96 | 251
98 | 497
113 | 260
97 | 274
125 | 387
145 | 454
59 | 231
136 | 340
113 | 491
51 | 347
142 | 299
142 | 425
92 | 399
132 | 366
136 | 430
81 | 315
125 | 411
99 | 245
80 | 381
56 | 331
107 | 412
123 | 220
130 | 210
104 | 274
137 | 372
111 | 292
132 | 500
78 | 473
125 | 288
81 | 204
126 | 279
65 | 485
229 | 825
100 | 209
75 | 253
51 | 395
124 | 334
91 | 397
141 | 319
120 | 273
83 | 366
136 | 422
126 | 428
92 | 453
56 | 289
91 | 473
85 | 435
104 | 318
135 | 382
102 | 317
82 | 236
103 | 353
122 | 322
135 | 371
116 | 210
74 | 211
121 | 228
127 | 416
110 | 470
129 | 243
112 | 391
76 | 426
80 | 332
70 | 428
146 | 313
101 | 444
119 | 465
67 | 471
71 | 284
104 | 386
70 | 367
89 | 440
118 | 360
52 | 318
112 | 300
75 | 473
114 | 323
140 | 248
53 | 496
117 | 412
58 | 379
126 | 445
89 | 438
104 | 403
55 | 210
66 | 267
98 | 212
92 | 409
137 | 319
89 | 351
135 | 214
104 | 423
125 | 344
51 | 291
55 | 281
133 | 256
89 | 427
129 | 276
117 | 241
117 | 344
150 | 443
97 | 437
119 | 217
82 | 319
62 | 236
70 | 407
113 | 358
133 | 413
57 | 233
51 | 455
87 | 262
146 | 465
100 | 342
80 | 480
114 | 300
133 | 205
106 | 301
137 | 382
56 | 281
92 | 250
108 | 292
72 | 340
92 | 367
125 | 264
128 | 322
90 | 431
58 | 329
124 | 347
72 | 281
84 | 495
52 | 344
125 | 267
85 | 430
55 | 495
74 | 286
99 | 400
132 | 363
105 | 399
71 | 338
135 | 443
105 | 312
130 | 307
79 | 442
58 | 434
112 | 221
103 | 211
126 | 296
146 | 460
137 | 484
70 | 244
96 | 439
65 | 375
102 | 366
98 | 432
114 | 440
136 | 491
124 | 454
118 | 486
52 | 207
77 | 498
59 | 248
102 | 462
91 | 336
61 | 438
108 | 251
62 | 500
70 | 274
109 | 266
111 | 252
134 | 247
83 | 324
132 | 354
