344,358
150,512
83,468
74,215
119,253
54,571
75,558
125,333
119,244
65,415
132,427
106,284
104,422
52,341
66,545
82,282
102,336
119,298
71,367
70,371
136,329
70,350
50,435
133,515
140,440
121,315
98,249
144,487
104,419
60,330
111,272
85,235
150,362
145,415
61,411
70,427
93,253
128,342
103,223
76,561
121,287
104,863
72,442
120,414
135,335
145,562
121,396
140,496
127,474
78,216
118,454
144,545
56,572
120,600
71,252
265,558
88,336
143,541
88,495
77,267
90,327
94,303
107,414
96,279
134,315
93,254
126,264
113,222
103,238
93,260
126,307
150,288
81,359
116,317
148,209
122,250
107,288
115,476
98,586
145,273
59,414
67,512
125,488
69,275
92,575
114,527
57,594
104,255
146,369
104,483
70,410
148,486
75,498
85,312
74,228
56,239
74,320
79,548
270,249
75,583
150,545
108,204
125,352
124,314
120,549
108,430
120,303
149,200
109,437
65,456
141,517
147,577
99,368
278,557
104,362
72,521
81,578
95,545
147,557
121,538
118,300
70,488
121,558
84,337
135,548
113,304
107,502
68,935
143,276
297,590
59,280
104,364
118,515
134,469
76,449
110,426
144,246
122,456
116,258
133,280
67,366
90,244
65,548
110,497
124,428
107,301
85,528
103,326
86,395
74,422
88,315
139,433
147,362
148,383
126,535
295,536
61,403
52,537
80,343
283,400
149,446
117,396
139,463
140,405
134,510
71,303
95,280
56,452
52,415
132,209
109,359
65,536
92,296
91,337
91,328
56,452
58,294
104,550
103,318
113,218
100,581
116,358
104,404
71,274
80,503
80,329
56,468
104,479
131,358
66,572
128,293
88,423
62,400
112,468
139,366
80,570
75,526
78,508
126,270
146,384
65,399
60,501
142,350
91,511
58,541
78,597
79,261
139,254
127,571
86,281
118,287
106,466
126,573
126,544
58,575
71,272
148,236
130,234
139,595
146,345
145,447
95,584
136,254
103,553
70,587
98,526
143,457
79,260
106,378
69,457
83,502
87,265
107,331
81,278
149,550
54,534
106,405
94,574
57,382
111,392
99,284
130,433
52,202
134,364
51,565
100,245
110,911
65,449
128,559
88,217
125,251
95,444
51,394
135,408
51,470
117,494
82,296
92,353
140,587
94,465
68,506
125,489
108,382
143,406
112,542
82,207
130,288
148,485
89,263
82,468
133,577
132,378
132,540
108,314
66,578
140,443
89,412
65,268
133,352
68,450
80,461
98,598
119,277
71,223
107,420
82,223
128,500
143,230
107,292
88,336
124,276
107,453
86,320
98,414
92,496
92,573
133,865
63,544
133,907
89,493
127,228
115,344
144,326
140,904
148,395
64,592
115,505
142,266
113,234
101,475
95,297
93,327
132,253
60,267
87,256
114,303
89,809
139,371
136,503
60,441
93,465
98,483
88,473
70,393
71,543
75,410
108,545
89,593
51,560
95,299
124,427
139,284
125,422
102,388
107,402
100,311
251,540
121,246
97,426
77,467
73,275
141,225
147,360
64,596
77,490
93,226
63,561
89,365
91,503
143,392
128,242
110,208
107,539
112,435
69,510
131,257
125,298
68,415
91,588
64,535
56,288
70,263
142,397
102,555
101,410
54,334
85,353
58,369
61,446
98,533
51,313
51,464
147,316
134,484
60,445
111,341
58,391
136,926
103,415
147,463
108,340
100,524
97,431
124,448
82,265
140,996
65,410
98,540
142,467
141,555
81,312
67,375
147,557
73,454
88,590
129,253
129,476
263,588
145,325
103,207
140,484
114,368
57,338
62,465
50,508
84,534
56,237
95,583
121,270
146,463
69,331
72,292
89,273
51,545
107,485
71,548
94,339
138,485
56,434
74,546
75,554
109,567
145,458
123,287
99,406
136,323
80,353
78,445
135,335
79,363
73,393
105,562
120,306
135,280
106,596
137,290
61,476
94,253
113,356
67,539
138,220
141,423
91,544
102,593
122,389
82,457
130,821
139,562
65,369
53,275
128,523
106,434
128,215
90,518
81,466
133,421
131,508
133,284
136,390
270,450
79,253
50,530
149,581
147,465
82,481
118,260
126,273
94,243
137,246
70,493
100,313
99,588
131,455
122,576
62,364
74,336
111,467
137,294
89,360
108,230
86,203
146,363
143,341
130,208
132,365
65,366
114,221
130,510
117,254
61,206
145,572
69,481
131,402
118,302
135,356
81,238
109,321
60,347
107,410
99,310
